Impl, Trial: , 0, 1, 2, 3, 4, 5, mean
chpl, ./bin/step_11_dist-nl2, 41.66488, 41.60082, 41.26077, 46.55286, 42.22064, 44.96068, 43.04344
py, ./bin/step_11_dist-nl2, 1.68968, 1.77766, 1.72164, 1.71765, 1.72565, 1.78165, 1.73565
chpl, ./bin/step_11_dist-nl2--x_len=4--y_len=4--nx=100--ny=100, 46.23892, 44.77090, 47.12693, 40.07090, 40.46289, 44.80701, 43.91293
py, ./bin/step_11_dist-nl2--x_len=4--y_len=4--nx=100--ny=100, 2.82111, 2.82506, 2.71318, 2.93716, 2.75312, 2.77715, 2.80447
chpl, ./bin/step_11_dist-nl2--x_len=64--y_len=64--nx=1600--ny=1600, 92.71362, 96.90166, 98.98962, 94.28565, 99.49363, 96.16959, 96.42563
chpl, ./bin/step_11_dist-nl2--ny=1600--nx=1600--y_len=64--x_len=64, 96.04763, 100.69294, 96.08882, 98.04532, 99.86100, 98.81298, 98.25811
py, ./bin/step_11_dist-nl2--x_len=64--y_len=64--nx=1600--ny=1600, 1151.31591, 1138.16391, 1133.10070, 1127.97591, 1136.73263, 1133.26470, 1136.75896
py, ./bin/step_11_dist-nl2--ny=1600--nx=1600--y_len=64--x_len=64, 1139.66924, 1142.88020, 1130.40139, 1124.62896, 1136.67720, 1129.02927, 1133.88104
chpl, ./bin/step_11_dist-nl2--ny=800--nx=800--y_len=32--x_len=32, 59.49682, 54.30087, 53.81691, 58.58059, 53.02897, 53.29289, 55.41951
py, ./bin/step_11_dist-nl2--ny=800--nx=800--y_len=32--x_len=32, 194.02365, 195.79577, 192.66530, 194.19569, 197.55166, 196.15576, 195.06464
chpl, ./bin/step_11_dist-nl2--ny=400--nx=400--y_len=16--x_len=16, 47.52481, 43.06898, 47.50872, 45.02486, 45.01278, 49.67661, 46.30279
py, ./bin/step_11_dist-nl2--ny=400--nx=400--y_len=16--x_len=16, 50.28571, 50.42572, 50.84175, 49.72175, 50.92173, 50.07775, 50.37907
chpl, ./bin/step_11_dist-nl2--ny=200--nx=200--y_len=8--x_len=8, 42.77722, 46.23285, 39.56605, 48.10486, 47.16890, 45.53678, 44.89778
py, ./bin/step_11_dist-nl2--ny=200--nx=200--y_len=8--x_len=8, 13.18431, 12.89225, 12.64826, 12.74061, 12.47228, 12.49222, 12.73832
chpl, ./bin/step_11_dist-nl2--ny=150--nx=150--y_len=6--x_len=6, 44.32474, 39.57687, 43.47673, 45.60865, 39.72491, 42.72080, 42.57212
py, ./bin/step_11_dist-nl2--ny=150--nx=150--y_len=6--x_len=6, 7.41346, 7.25354, 7.40951, 7.37353, 7.26547, 7.54150, 7.37617
chpl, ./bin/step_11_dist-nl2--ny=3200--nx=3200--y_len=128--x_len=128, 351.92902, 335.22561, 338.42894, 344.33711, 340.07057, 348.05349, 343.00746
chpl, ./bin/step_11_dist-nl2--ny=2400--nx=2400--y_len=96--x_len=96, 191.83294, 193.68495, 191.83687, 187.08116, 187.09709, 186.45612, 189.66485
chpl, ./bin/step_11_dist-nl2--ny=6400--nx=6400--y_len=256--x_len=256, 1230.19137, 1196.67141, 1193.28634, 1198.52340, 1206.06339, 1193.85527, 1203.09853
